,code,exchange
354,000909,深交所
355,000910,深交所
356,000911,深交所
357,000912,深交所
358,000913,深交所
359,000915,深交所
360,000917,深交所
361,000919,深交所
362,000920,深交所
363,000921,深交所
364,000922,深交所
365,000923,深交所
366,000925,深交所
367,000926,深交所
368,000927,深交所
369,000928,深交所
370,000929,深交所
371,000930,深交所
372,000931,深交所
373,000932,深交所
374,000933,深交所
375,000935,深交所
376,000936,深交所
377,000937,深交所
378,000938,深交所
379,000948,深交所
380,000949,深交所
381,000950,深交所
382,000951,深交所
383,000952,深交所
384,000953,深交所
385,000955,深交所
386,000957,深交所
387,000958,深交所
388,000959,深交所
389,000960,深交所
390,000962,深交所
391,000963,深交所
392,000965,深交所
393,000966,深交所
394,000967,深交所
395,000968,深交所
396,000969,深交所
397,000970,深交所
398,000972,深交所
399,000973,深交所
400,000975,深交所
401,000977,深交所
402,000978,深交所
403,000980,深交所
404,000981,深交所
405,000983,深交所
406,000985,深交所
407,000987,深交所
408,000988,深交所
409,000989,深交所
410,000990,深交所
411,000993,深交所
412,000995,深交所
413,000997,深交所
414,000998,深交所
415,000999,深交所
416,001201,深交所
417,001202,深交所
418,001203,深交所
419,001205,深交所
420,001206,深交所
421,001207,深交所
422,001208,深交所
423,001209,深交所
424,001210,深交所
425,001211,深交所
426,001212,深交所
427,001213,深交所
428,001215,深交所
429,001216,深交所
430,001217,深交所
431,001218,深交所
432,001219,深交所
433,001221,深交所
434,001222,深交所
435,001223,深交所
436,001225,深交所
437,001226,深交所
438,001227,深交所
439,001228,深交所
440,001229,深交所
441,001230,深交所
442,001231,深交所
443,001234,深交所
444,001236,深交所
445,001238,深交所
446,001239,深交所
447,001255,深交所
448,001256,深交所
449,001258,深交所
450,001259,深交所
451,001260,深交所
452,001266,深交所
453,001267,深交所
454,001268,深交所
455,001269,深交所
456,001270,深交所
457,001277,深交所
458,001278,深交所
459,001279,深交所
460,001282,深交所
461,001283,深交所
462,001286,深交所
463,001287,深交所
464,001288,深交所
465,001289,深交所
466,001296,深交所
467,001298,深交所
468,001299,深交所
469,001300,深交所
470,001301,深交所
471,001306,深交所
472,001308,深交所
473,001309,深交所
474,001311,深交所
475,001313,深交所
476,001314,深交所
477,001316,深交所
478,001317,深交所
479,001318,深交所
480,001319,深交所
481,001322,深交所
482,001323,深交所
483,001324,深交所
484,001326,深交所
485,001328,深交所
486,001330,深交所
487,001331,深交所
488,001332,深交所
489,001333,深交所
490,001335,深交所
491,001336,深交所
492,001337,深交所
493,001338,深交所
494,001339,深交所
495,001356,深交所
496,001358,深交所
497,001359,深交所
498,001360,深交所
499,001366,深交所
500,001367,深交所
501,001368,深交所
502,001373,深交所
503,001376,深交所
504,001378,深交所
505,001379,深交所
506,001380,深交所
507,001382,深交所
508,001387,深交所
509,001388,深交所
510,001389,深交所
511,001390,深交所
512,001391,深交所
513,001395,深交所
514,001400,深交所
515,001696,深交所
516,001872,深交所
517,001896,深交所
518,001914,深交所
519,001965,深交所
520,001979,深交所
521,002001,深交所
522,002003,深交所
523,002004,深交所
524,002005,深交所
525,002006,深交所
526,002007,深交所
527,002008,深交所
528,002009,深交所
529,002010,深交所
530,002011,深交所
531,002012,深交所
532,002014,深交所
533,002015,深交所
534,002016,深交所
535,002017,深交所
536,002019,深交所
537,002020,深交所
538,002021,深交所
539,002022,深交所
540,002023,深交所
541,002024,深交所
542,002025,深交所
543,002026,深交所
544,002027,深交所
545,002028,深交所
546,002029,深交所
547,002030,深交所
548,002031,深交所
549,002032,深交所
550,002033,深交所
551,002034,深交所
552,002035,深交所
553,002036,深交所
554,002037,深交所
555,002038,深交所
556,002039,深交所
557,002040,深交所
558,002041,深交所
